60.39	60.94	182.93	192.91	202.89	181.27	197.90
59.83	59.83	184.59	191.24	201.22	179.60	199.56
59.83	59.83	186.26	191.24	199.56	181.27	201.22
60.39	59.83	186.26	189.58	202.89	177.94	197.90
59.28	59.28	182.93	187.92	202.89	179.60	197.90
59.83	58.72	182.93	191.24	201.22	177.94	197.90
59.28	59.28	182.93	187.92	199.56	172.95	197.90
58.72	58.17	177.94	189.58	206.21	177.94	197.90
59.83	59.28	181.27	187.92	202.89	181.27	197.90
59.28	58.72	184.59	187.92	201.22	174.62	197.90
59.83	59.28	186.26	186.26	197.90	179.60	199.56
60.39	53.74	174.62	189.58	202.89	181.27	199.56
59.28	58.17	182.93	189.58	202.89	182.93	199.56
59.83	59.83	184.59	189.58	201.22	184.59	201.22
59.83	59.83	186.26	189.58	207.88	184.59	197.90
59.83	59.83	187.92	191.24	204.55	182.93	197.90
81.99	77.56	236.15	244.46	256.10	226.17	236.15
79.78	77.56	234.48	231.16	262.75	244.46	254.44
79.78	77.01	236.15	219.52	262.75	247.79	256.10
79.22	77.56	234.48	222.84	251.11	241.13	252.78
79.78	77.56	234.48	219.52	247.79	244.46	252.78
79.78	77.56	232.82	234.48	249.45	246.12	252.78
62.05	56.51	172.95	184.59	169.63	199.56	202.89
60.39	60.39	176.28	184.59	177.94	199.56	201.22
60.39	59.83	182.93	194.57	179.60	197.90	199.56
60.39	59.83	174.62	184.59	179.60	197.90	199.56
60.94	59.83	174.62	189.58	176.28	196.23	202.89
59.83	59.83	174.62	186.26	177.94	196.23	201.22
60.39	59.28	176.28	186.26	179.60	196.23	201.22
59.83	59.28	202.89	199.56	196.23	192.91	201.22
78.67	74.79	231.16	246.12	247.79	221.18	232.82
79.22	76.45	247.79	249.45	257.76	236.15	249.45
79.22	73.68	236.15	249.45	252.78	236.15	249.45
79.78	75.90	236.15	244.46	259.43	236.15	251.11
79.78	75.90	232.82	244.46	256.10	239.47	251.11
79.78	75.90	237.81	234.48	252.78	239.47	251.11
80.33	76.45	241.13	241.13	259.43	241.13	252.78
79.78	76.45	237.81	241.13	257.76	244.46	252.78
80.33	75.90	236.15	241.13	251.11	242.80	256.10
80.33	76.45	236.15	241.13	259.43	242.80	256.10
80.33	76.45	236.15	237.81	254.44	242.80	256.10
80.33	75.90	239.47	236.15	259.43	236.15	251.11
80.33	76.45	247.79	247.79	251.11	236.15	251.11
80.33	76.45	251.11	247.79	257.76	239.47	247.79
80.33	76.45	249.45	246.12	259.43	237.81	252.78
80.88	77.01	242.80	247.79	254.44	246.12	259.43
63.71	59.83	207.88	209.54	199.56	199.56	209.54
63.16	59.83	224.51	219.52	196.23	176.28	196.23
62.60	59.83	219.52	216.19	201.22	174.62	196.23
62.05	58.72	214.53	214.53	201.22	172.95	196.23
62.60	59.28	216.19	212.86	202.89	176.28	197.90
61.49	58.72	214.53	217.85	201.22	172.95	194.57
60.94	57.06	212.86	214.53	199.56	182.93	194.57
61.49	58.17	211.20	212.86	196.23	179.60	197.90
72.57	70.36	232.82	242.80	246.12	231.16	259.43
79.22	78.11	236.15	244.46	251.11	246.12	266.08
78.67	77.56	237.81	244.46	249.45	244.46	264.42
79.22	79.22	239.47	244.46	251.11	244.46	256.10
79.22	77.56	239.47	244.46	249.45	242.80	259.43
79.78	79.22	219.52	246.12	251.11	242.80	261.09
80.88	79.22	237.81	247.79	261.09	244.46	256.10
79.78	78.67	239.47	244.46	252.78	244.46	254.44
79.78	78.67	234.48	242.80	254.44	244.46	254.44
79.78	79.22	231.16	246.12	259.43	241.13	254.44
79.22	74.79	231.16	242.80	254.44	239.47	252.78
80.33	79.22	232.82	244.46	254.44	241.13	252.78
80.33	79.78	232.82	246.12	254.44	241.13	256.10
79.78	78.67	232.82	244.46	252.78	241.13	252.78
79.78	78.67	236.15	246.12	256.10	242.80	251.11
79.78	79.22	232.82	244.46	251.11	241.13	254.44
61.49	61.49	236.15	226.17	254.44	226.17	234.48
60.39	59.28	211.20	209.54	211.20	201.22	202.89
60.94	60.39	207.88	206.21	206.21	197.90	201.22
60.39	59.83	204.55	204.55	204.55	176.28	201.22
60.39	59.28	202.89	206.21	206.21	176.28	201.22
60.39	59.83	207.88	204.55	202.89	177.94	202.89
59.83	59.28	202.89	206.21	206.21	181.27	202.89
63.16	62.60	201.22	202.89	204.55	177.94	202.89
66.48	63.16	227.83	241.13	236.15	221.18	236.15
73.68	78.11	231.16	242.80	251.11	237.81	251.11
78.67	78.11	242.80	246.12	246.12	239.47	252.78
78.67	78.67	246.12	244.46	241.13	246.12	254.44
79.22	79.78	242.80	246.12	251.11	239.47	252.78
79.78	79.22	244.46	246.12	254.44	241.13	256.10
79.22	78.67	244.46	246.12	252.78	241.13	256.10
79.22	78.11	242.80	244.46	249.45	236.15	254.44
79.22	78.67	242.80	242.80	249.45	237.81	256.10
78.67	78.67	244.46	241.13	244.46	236.15	254.44
79.22	79.22	244.46	241.13	247.79	236.15	252.78
78.67	79.22	241.13	242.80	246.12	237.81	251.11
78.11	79.22	241.13	241.13	246.12	236.15	252.78
78.67	79.22	239.47	242.80	251.11	234.48	251.11
79.22	79.22	242.80	241.13	246.12	231.16	252.78
78.67	79.22	236.15	242.80	249.45	239.47	254.44
77.56	61.49	187.92	189.58	189.58	229.49	252.78
77.56	61.49	186.26	189.58	194.57	206.21	216.19
78.11	61.49	189.58	192.91	192.91	204.55	214.53
78.11	61.49	187.92	189.58	192.91	201.22	212.86
77.56	61.49	207.88	191.24	194.57	206.21	212.86
77.01	60.94	201.22	189.58	194.57	201.22	212.86
79.22	78.67	204.55	187.92	191.24	204.55	216.19
77.56	77.01	201.22	189.58	194.57	197.90	211.20
78.11	77.56	214.53	189.58	191.24	199.56	209.54
78.11	77.56	234.48	216.19	241.13	234.48	261.09
78.11	77.01	231.16	212.86	247.79	241.13	259.43
77.56	77.56	232.82	224.51	246.12	241.13	256.10
78.11	77.01	236.15	227.83	252.78	241.13	256.10
78.11	77.56	234.48	227.83	251.11	241.13	257.76
78.67	75.90	231.16	227.83	262.75	242.80	251.11
78.67	78.11	234.48	222.84	262.75	242.80	246.12
78.11	77.56	232.82	219.52	261.09	241.13	252.78
78.11	77.56	234.48	221.18	261.09	242.80	252.78
78.67	77.56	236.15	237.81	261.09	241.13	252.78
78.67	78.11	236.15	239.47	259.43	239.47	254.44
78.11	77.56	232.82	237.81	261.09	247.79	252.78
78.11	77.56	234.48	239.47	261.09	242.80	254.44
79.22	78.11	236.15	239.47	257.76	244.46	254.44
78.67	78.67	237.81	239.47	259.43	236.15	256.10
79.22	78.11	237.81	241.13	261.09	239.47	252.78
60.94	59.83	191.24	192.91	257.76	221.18	216.19
59.83	60.39	191.24	191.24	246.12	194.57	196.23
59.83	60.39	191.24	211.20	206.21	199.56	192.91
60.39	60.39	192.91	214.53	209.54	206.21	196.23
60.39	59.83	191.24	214.53	206.21	192.91	197.90
59.83	59.83	191.24	211.20	204.55	194.57	196.23
59.83	60.39	192.91	211.20	202.89	194.57	192.91
59.83	60.39	189.58	209.54	199.56	244.46	256.10
80.88	75.90	226.17	232.82	231.16	242.80	259.43
78.67	75.34	227.83	226.17	247.79	241.13	257.76
78.67	75.34	227.83	226.17	252.78	241.13	257.76
78.67	74.79	227.83	214.53	251.11	239.47	257.76
78.67	75.34	229.49	214.53	256.10	236.15	256.10
79.22	75.90	226.17	214.53	257.76	244.46	257.76
79.22	76.45	226.17	216.19	256.10	241.13	257.76
79.22	75.90	227.83	216.19	254.44	244.46	254.44
79.22	75.90	226.17	211.20	256.10	241.13	259.43
79.22	75.90	231.16	214.53	254.44	242.80	259.43
79.22	75.34	227.83	212.86	256.10	241.13	256.10
78.67	75.90	227.83	216.19	257.76	239.47	257.76
79.78	77.01	229.49	214.53	256.10	239.47	259.43
79.22	75.90	227.83	214.53	254.44	239.47	256.10
79.22	76.45	227.83	216.19	259.43	241.13	257.76
79.78	76.45	226.17	214.53	261.09	231.16	236.15
65.93	65.37	206.21	207.88	202.89	191.24	192.91
65.37	65.37	206.21	209.54	196.23	182.93	194.57
65.93	64.82	202.89	211.20	196.23	184.59	197.90
65.93	65.37	206.21	209.54	201.22	181.27	194.57
66.48	65.37	209.54	211.20	201.22	182.93	197.90
65.37	64.26	204.55	209.54	194.57	181.27	196.23
65.37	64.82	202.89	209.54	201.22	177.94	196.23
65.37	64.26	201.22	207.88	194.57	181.27	194.57
65.37	64.82	201.22	207.88	194.57	182.93	196.23
64.82	64.26	202.89	206.21	197.90	182.93	196.23
65.37	64.82	207.88	207.88	196.23	181.27	191.24
65.37	64.82	204.55	207.88	194.57	181.27	191.24
65.37	65.37	209.54	211.20	202.89	182.93	191.24
66.48	65.37	204.55	211.20	201.22	181.27	189.58
65.93	65.37	202.89	209.54	194.57	179.60	192.91
65.93	65.93	201.22	207.88	201.22	181.27	194.57
66.48	66.48	211.20	207.88	196.23	179.60	191.24
65.93	64.82	201.22	207.88	196.23	179.60	191.24
65.37	64.82	234.48	241.13	244.46	239.47	251.11
65.93	64.82	236.15	237.81	244.46	244.46	242.80
65.37	64.82	234.48	237.81	246.12	242.80	249.45
65.93	64.82	236.15	204.55	247.79	239.47	247.79
65.93	64.82	196.23	204.55	247.79	199.56	196.23
65.37	64.26	182.93	192.91	192.91	197.90	197.90
65.37	64.26	186.26	191.24	187.92	196.23	196.23
65.37	64.26	186.26	191.24	187.92	201.22	199.56
65.93	64.26	184.59	191.24	189.58	179.60	199.56
65.37	64.26	184.59	189.58	187.92	181.27	199.56
65.93	64.82	184.59	191.24	186.26	179.60	201.22
65.93	64.26	184.59	219.52	199.56	181.27	197.90
65.37	64.26	182.93	206.21	197.90	182.93	199.56
64.82	63.71	182.93	204.55	196.23	177.94	201.22
65.37	63.71	181.27	204.55	199.56	177.94	199.56
64.82	63.16	184.59	204.55	199.56	174.62	194.57
65.37	63.16	182.93	209.54	197.90	177.94	201.22
64.82	63.16	182.93	204.55	201.22	179.60	197.90
65.37	63.71	189.58	207.88	201.22	179.60	197.90
65.37	64.26	189.58	207.88	201.22	177.94	197.90
65.93	64.26	181.27	196.23	197.90	176.28	197.90
65.93	64.82	181.27	194.57	196.23	176.28	199.56
65.93	64.82	177.94	194.57	196.23	177.94	201.22
66.48	64.82	199.56	194.57	199.56	201.22	216.19
66.48	65.37	237.81	234.48	237.81	231.16	241.13
65.93	64.82	234.48	234.48	241.13	232.82	246.12
65.37	63.71	234.48	234.48	234.48	234.48	246.12
65.93	64.82	229.49	234.48	232.82	237.81	246.12
65.93	63.16	229.49	234.48	234.48	232.82	247.79
62.60	62.05	184.59	189.58	182.93	207.88	211.20
63.16	62.05	182.93	189.58	187.92	209.54	211.20
62.60	61.49	181.27	186.26	174.62	202.89	207.88
62.60	61.49	181.27	189.58	181.27	197.90	206.21
63.16	62.05	184.59	187.92	182.93	207.88	207.88
63.16	62.05	181.27	187.92	181.27	204.55	207.88
63.16	62.05	179.60	191.24	181.27	201.22	207.88
63.16	60.39	179.60	199.56	177.94	204.55	206.21
62.60	60.94	179.60	197.90	182.93	202.89	204.55
80.33	77.56	234.48	249.45	246.12	237.81	247.79
79.78	75.90	234.48	246.12	247.79	241.13	251.11
79.78	76.45	234.48	247.79	244.46	237.81	251.11
80.33	77.01	236.15	249.45	251.11	239.47	241.13
80.33	76.45	232.82	241.13	247.79	237.81	249.45
80.33	77.56	232.82	242.80	246.12	237.81	254.44
80.33	78.11	234.48	242.80	249.45	237.81	252.78
80.33	77.01	232.82	239.47	249.45	239.47	251.11
80.33	77.56	234.48	241.13	246.12	237.81	251.11
80.33	75.90	234.48	241.13	247.79	237.81	251.11
80.88	78.11	232.82	239.47	246.12	241.13	251.11
