-2.80	446.00
-3.20	422.00
-3.20	418.00
-3.60	407.00
-4.00	398.00
-4.00	385.00
-4.40	379.00
-5.20	372.00
-5.60	418.00
-5.60	468.00
-6.00	461.00
-6.40	454.00
-5.60	447.00
-5.20	436.00
-4.80	447.00
-4.40	446.00
-3.60	444.00
-3.60	445.00
-2.80	449.00
-2.40	459.00
-2.40	457.00
-2.00	457.00
-2.00	448.00
-3.50	443.00
-3.50	443.00
-3.80	426.00
-4.10	421.00
-4.60	418.00
-5.20	420.00
-5.10	414.00
-5.10	450.00
-5.10	476.00
-5.10	473.00
-4.20	467.00
-3.00	467.00
-2.30	461.00
-0.80	462.00
-0.80	461.00
-0.80	463.00
-1.60	462.00
-2.00	462.00
-2.80	462.00
-2.40	462.00
-2.40	462.00
-3.20	462.00
-4.40	462.00
-5.20	439.00
-6.90	422.00
-8.40	430.00
-9.60	432.00
-10.80	435.00
-11.30	433.00
-12.80	431.00
-13.10	420.00
-13.30	453.00
-13.30	481.00
-14.10	481.00
-14.00	485.00
-12.70	499.00
-12.00	499.00
-11.30	444.00
-10.80	444.00
-10.10	446.00
-10.50	450.00
-11.00	451.00
-12.00	453.00
-12.40	452.00
-12.90	447.00
-14.00	445.00
-14.50	451.00
-15.00	457.00
-15.30	413.00
-15.80	414.00
-16.00	412.00
-16.10	408.00
-16.30	406.00
-16.50	396.00
-16.60	371.00
-12.40	400.00
-12.80	431.00
-12.80	431.00
-11.60	440.00
-10.80	450.00
-8.80	453.00
-8.40	454.00
-7.20	454.00
-6.80	453.00
-6.80	444.00
-7.20	437.00
-7.20	435.00
-6.80	433.00
-6.80	437.00
-6.40	438.00
-6.40	441.00
-6.00	441.00
-7.00	406.00
-6.60	398.00
-6.50	394.00
-6.30	394.00
-6.10	382.00
-6.00	373.00
-5.80	353.00
-5.60	343.00
-5.30	389.00
-5.00	459.00
-4.30	468.00
-3.80	469.00
-3.50	466.00
-2.70	465.00
-2.30	456.00
-2.00	453.00
-1.30	454.00
-1.00	457.00
-1.00	459.00
-0.90	459.00
-0.50	457.00
-0.40	459.00
-0.30	459.00
-0.30	475.00
0.00	442.00
0.20	414.00
0.30	404.00
0.30	400.00
0.50	398.00
0.60	393.00
0.70	382.00
0.60	397.00
0.60	434.00
0.60	453.00
1.00	439.00
1.30	451.00
1.30	448.00
1.20	447.00
1.30	448.00
1.20	449.00
1.00	449.00
0.30	447.00
0.00	449.00
0.80	448.00
0.40	448.00
0.40	448.00
-0.40	448.00
-0.80	455.00
-2.00	415.00
-2.30	401.00
-2.70	404.00
-2.90	404.00
-3.20	402.00
-3.40	398.00
-3.60	394.00
-3.60	392.00
-3.80	391.00
-3.90	397.00
-3.70	391.00
-3.40	391.00
-2.70	401.00
-2.60	413.00
-2.00	413.00
-2.10	413.00
-2.30	419.00
-2.60	419.00
-3.30	460.00
-3.40	476.00
-3.50	470.00
