11	25	268681
8	17	144485
3	4	66415
3	6	68592
16	51	373602
7	12	71416
12	42	435830
8	11	101995
2	2	55500
4	11	30949
8	20	103500
6	13	101521
10	19	59688
8	18	30949
11	35	295350
4	7	39808
22	103	896658
1	5	139592
3	5	60063
6	16	92600
4	6	39621
3	4	59662
1	9	32805
10	22	421477
7	19	195742
8	25	173363
7	8	31372
17	38	329742
14	29	486801
5	14	138072
3	16	192725
7	10	86012
6	16	196320
2	10	32168
3	11	53043
3	20	183522
20	59	202400
15	44	1679511
6	12	47000
9	15	136400
11	31	233200
19	58	319000
9	27	269476
17	66	1071166
6	6	34633
7	17	32185
4	9	90541
8	9	45040
14	24	35300
7	7	19203
11	29	798894
1	8	52981
5	5	169391
10	15	266803
13	22	60176
6	11	66000
5	7	93323
14	34	849500
9	13	42250
3	12	59228
4	8	101000
10	24	305607
2	5	42602
7	15	39500
5	8	43053
11	22	91356
4	19	41734
7	10	71425
3	6	37795
12	35	152957
4	31	295800
2	9	75962
5	14	89228
1	10	111937
7	23	722732
3	81	690560
4	29	288711
27	180	3101914
12	29	390452
8	18	171500
2	3	32000
3	18	62293
9	52	495564
4	26	308353
18	115	715100
10	70	698319
1	1	24923
7	14	30600
28	150	1751655
6	29	280000
15	55	358935
14	104	1469120
2	13	73223
4	18	53221
6	19	227192
6	21	276972
12	150	1458801
7	52	520658
7	19	119037
4	8	79240
6	8	219000
7	18	529686
11	46	289851
1	1	31572
2	6	203082
23	211	2251376
8	21	126500
21	63	434100
20	102	1014700
15	30	103906
2	11	34175
11	28	204765
13	36	416949
6	15	55798
3	15	125681
3	14	35000
18	56	272145
10	13	87500
8	24	295283
4	5	52513
17	35	293800
2	7	43175
2	10	37200
6	25	264302
16	60	744656
15	39	381421
8	9	204807
3	8	108920
1	4	114200
1	2	35259
3	3	32185
14	22	493306
12	50	462423
2	4	36368
1	2	34731
21	165	2000000
6	11	33900
1	4	45618
4	13	36575
12	25	107322
7	36	351546
8	14	57723
6	22	177069
4	34	445482
11	47	399037
20	111	1072638
28	281	4163768
7	44	208970
20	127	950942
6	16	58000
2	6	35572
7	37	457680
9	102	581036
6	10	158851
6	9	143996
4	45	308116
2	7	71400
9	14	31572
5	14	473000
16	68	320956
9	13	42633
2	8	32805
24	80	299712
17	84	695711
2	9	30890
1	5	30640
8	19	94000
1	4	122221
5	8	101088
6	11	40244
5	15	168703
1	1	102996
4	11	139727
5	10	198427
10	17	35066
10	22	161323
12	47	719517
5	11	52805
10	16	115560
6	13	147900
16	23	426763
24	108	2320246
3	9	269968
5	22	552280
18	108	1843104
9	18	232330
11	22	53523
6	10	53892
1	6	33117
5	5	261420
2	2	44542
1	4	35530
1	3	68063
8	36	282887
19	94	1082414
19	64	742315
5	12	73750
5	5	160336
19	65	348984
8	28	975137
3	3	72634
12	28	395971
1	1	19795
15	66	956000
9	16	98410
11	19	64602
12	25	271932
9	16	551882
4	6	110057
1	5	190931
1	2	27100
1	5	104000
5	8	61410
3	4	40600
3	5	20000
1	1	10000
3	3	20000
2	2	30000
9	15	120000
