100.50	108.45	127.82	138.45	144.89	154.69	163.75	171.00
104.17	112.07	126.38	136.18	141.75	156.73	164.25	169.50
113.27	117.36	134.23	140.30	143.78	154.92	164.38	171.00
109.41	116.25	136.00	143.27	146.89	156.42	164.00	170.00
98.93	115.00	134.08	141.30	147.38	154.73	161.86	168.38
99.50	101.11	127.20	136.00	144.13	153.20	161.14	167.50
99.33	108.50	125.31	134.36	136.57	151.00	161.63	169.40
105.00	118.75	131.46	136.08	144.00	152.82	159.63	168.00
108.25	120.50	133.40	139.92	144.88	153.14	159.10	168.33
110.06	124.00	134.33	140.73	145.78	152.79	159.00	168.36
85.87	103.00	120.00	134.22	104.29	153.00	159.38	167.78
93.80	107.15	121.94	129.10	142.43	154.50	158.71	167.90
103.73	113.80	128.67	136.92	145.25	153.64	158.00	168.22
104.73	115.88	128.67	136.23	142.44	153.17	158.17	168.57
95.73	114.00	120.86	132.20	141.63	152.82	158.00	167.63
89.22	104.33	116.81	126.75	140.78	153.54	157.29	166.00
94.20	108.79	122.08	130.45	142.89	150.31	155.75	164.22
95.20	110.25	123.93	132.33	145.25	152.54	156.88	164.60
94.72	109.43	122.47	130.93	146.25	153.72	158.55	166.38
107.08	103.25	123.33	133.08	145.88	153.50	158.88	166.00
101.94	112.85	127.50	141.92	147.67	154.31	159.33	167.55
102.13	115.43	128.13	141.00	149.33	153.23	159.13	166.80
110.59	118.67	131.11	142.27	149.46	154.69	158.90	164.86
118.53	124.38	137.80	146.45	154.56	159.86	162.25	167.70
124.50	127.00	138.23	149.78	156.00	156.92	161.78	167.70
118.27	126.92	141.55	150.00	155.75	157.30	161.75	167.75
108.80	123.80	140.82	153.22	156.88	158.18	160.22	166.10
112.21	123.57	141.92	150.18	153.82	159.17	164.86	169.38
115.67	124.20	141.67	149.30	153.40	159.33	164.71	168.50
112.75	126.50	140.86	149.50	154.44	160.50	164.40	168.33
105.77	123.00	129.50	139.33	147.71	156.14	160.20	168.86
81.92	109.50	114.07	130.00	138.22	154.78	162.67	170.22
78.86	101.00	114.86	126.67	139.27	154.78	164.80	172.86
109.62	118.40	130.36	140.45	150.70	164.50	172.17	178.29
124.06	128.00	139.50	145.60	157.80	171.91	179.29	184.56
148.27	139.43	154.38	158.89	167.44	179.17	182.57	189.10
138.33	137.14	153.36	158.45	165.40	174.19	180.88	187.33
126.86	129.91	148.20	155.64	162.20	175.64	181.17	188.38
126.33	136.67	149.64	163.00	169.00	178.00	180.80	209.25
152.54	151.56	172.79	170.18	175.18	183.86	182.86	195.56
164.20	161.00	175.00	176.42	180.83	186.50	182.00	194.33
155.88	166.50	175.62	177.44	179.00	181.00	184.17	189.60
169.38	167.00	179.82	180.50	182.25	190.20	187.40	197.50
247.50	230.00	226.64	232.43	228.43	205.00	213.25	205.50
245.67	221.43	217.55	216.13	215.50	209.50	221.00	207.86
263.17	242.00	226.00	213.83	210.71	205.00	214.00	174.29
198.43	192.29	201.80	204.11	205.78	202.25	206.00	200.67
157.43	162.21	177.67	191.64	194.00	199.17	206.43	211.00
144.69	151.71	171.69	179.73	186.67	195.00	199.71	205.11
162.53	176.78	177.21	181.55	185.60	191.92	198.17	200.20
109.24	135.32	157.27	168.18	178.00	183.75	194.86	198.80
98.75	98.00	142.62	155.67	163.70	181.78	192.50	198.43
108.33	118.08	147.29	161.91	167.22	177.55	189.80	196.50
123.00	132.77	145.53	162.62	168.73	179.46	186.75	193.56
120.93	131.73	152.36	158.77	166.73	179.67	189.50	194.22
122.92	144.83	151.45	161.50	170.00	180.25	191.67	195.57
125.50	126.11	148.17	161.20	168.22	180.33	191.50	195.86
126.36	135.00	153.73	164.00	170.10	181.11	191.80	197.00
120.45	137.11	149.91	158.22	165.56	174.67	184.00	190.00
121.64	134.78	147.85	157.18	166.10	175.18	187.00	191.44
119.79	136.43	146.47	156.15	164.42	173.92	184.00	190.00
125.71	124.46	146.79	154.33	160.73	172.00	181.00	188.44
111.21	129.00	144.67	152.33	161.30	172.92	182.33	188.29
116.87	130.86	142.64	150.75	159.08	170.50	185.00	187.25
114.86	128.29	140.75	151.62	161.92	170.27	181.86	187.00
106.93	125.75	139.13	148.86	159.77	168.86	181.00	186.40
109.67	107.45	136.50	145.67	154.50	168.09	183.75	188.83
109.06	123.08	141.40	149.93	160.46	170.92	180.50	187.90
121.18	131.27	146.06	155.13	161.07	169.60	181.86	189.80
157.87	156.11	167.27	163.91	170.80	181.83	185.00	191.20
150.87	127.89	169.47	215.82	213.40	201.25	210.83	187.10
126.43	116.25	142.31	153.25	163.67	171.92	186.00	188.67
114.20	126.08	141.53	152.64	162.10	170.64	188.25	191.88
117.44	128.62	142.07	150.91	160.33	168.45	181.50	187.00
123.46	136.71	147.50	157.08	166.18	172.25	179.33	186.38
128.50	117.54	141.46	153.18	162.09	171.80	182.83	189.00
120.00	117.04	142.57	153.14	161.55	170.08	183.40	188.43
132.33	141.67	149.71	158.27	165.64	172.91	186.25	188.80
120.71	135.00	144.40	155.08	162.33	171.67	181.20	187.86
112.19	127.33	141.00	152.62	157.40	166.75	177.50	185.86
118.89	112.60	137.92	151.09	158.56	168.27	176.80	184.00
117.21	121.63	137.69	150.50	157.82	166.83	175.25	183.67
112.41	126.92	140.27	151.00	157.09	165.54	174.50	183.00
94.12	121.40	137.13	147.69	156.10	163.30	173.50	179.83
100.56	121.25	133.41	147.14	153.55	162.83	170.75	181.17
104.29	99.64	129.31	142.73	150.44	161.36	168.00	179.33
101.67	105.67	129.36	140.50	146.91	158.62	167.00	177.67
105.29	115.92	133.50	142.83	150.00	152.91	163.80	177.13
121.31	126.00	136.62	144.73	150.30	158.30	161.50	176.17
130.83	125.00	138.33	144.75	151.29	160.00	162.00	179.40
108.00	108.17	133.75	141.58	148.00	157.50	160.33	176.20
107.36	118.42	135.92	143.17	149.63	158.70	162.33	176.29
106.50	120.75	133.54	142.50	147.89	157.00	158.50	174.83
98.67	117.83	127.07	137.54	142.44	152.17	155.75	170.88
84.80	115.60	121.79	135.33	141.14	148.50	148.00	163.33
105.83	103.20	124.08	133.91	139.13	148.36	148.00	157.14
